Influent NH4+-N,Influent TN,Influent Flowrate,DO of Zone 5,TN of Zone 5,COD of Zone 6,TN of Zone 6,DO of Zone 7,COD of Zone 7,TN of Zone 7,Effluent TN,Energy Consumption,External Carbon Source
26.6,28.91,67042.33,8.55,18.86,36.5,8,0.13,33.73,8.19,4.98,21890.67,2.03
22.75,24.7,66218.78,9.78,13.11,37.1,8.94,0.13,25.67,7.01,5.65,20545.04,2.33
21.87,24.42,66083.82,10.3,13,41.01,8.47,0.1,26.85,6.27,5.33,20475.62,2.63
22.75,24.67,66197.95,9.75,13.1,36.62,8.98,0.13,25.54,7.05,5.65,20548.05,2.3
22.76,25.16,66455.12,10.46,13.22,44.27,8.42,0.13,28,6.5,5.53,20561.95,2.76
21.93,23.75,22249.79,8.33,20.07,43.03,11.67,0.15,35.32,7.6,5.6,17402.66,6.38
22.29,23.94,22335.4,8.3,19.89,42.95,11.6,0.09,35.44,7.74,5.62,17483.06,6.34
22.01,23.97,22216.76,8.26,20.42,42.63,11.75,0.11,35.21,7.69,5.61,17467.15,6.38
22.01,23.59,22772.4,8.24,19.85,43.22,11.72,0.14,35.13,7.56,5.62,17542.85,6.32
35.13,35.93,30127.53,6.46,23.6,32.44,20.23,6.34,24.72,14.32,6.04,13211.66,2.22
36.85,37.53,26584.74,6.29,23.48,31.88,19.26,5.77,23.21,12.51,6.29,12248.39,1.88
32.26,32.97,36702.9,6.72,23.8,32.69,21.81,7.18,27.24,17.4,5.63,14893.13,2.81
36.66,37.36,26961.35,6.31,23.49,31.94,19.36,5.83,23.37,12.7,6.26,12350.79,1.91
36.73,41.44,31124.74,8.48,19.26,67.05,8.53,0.08,42.93,7.1,6.33,17705.97,2.31
41.03,46.51,31752.26,7.72,18.87,72.9,10.51,0.08,40.37,6.76,5.68,18325.33,2.84
37.98,43.02,31314.58,8.27,19.13,68.34,9.1,0.08,42.16,7.04,6.18,17867.57,2.41
41.48,47.42,31845.78,7.69,18.76,71.96,10.71,0.08,39.99,6.89,5.73,18319.79,2.69
19.35,22.74,66430.65,9.45,15.14,67.04,7.17,0.23,38.54,5.6,5.61,21982.49,3.67
19.18,22.75,66050.66,9.49,15.01,66.85,7.2,0.19,38.49,5.5,5.64,21976.81,3.57
18.95,22.94,66567.35,9.4,15.12,67.3,7.23,0.14,38.48,5.62,5.64,22110.86,3.68
19.29,22.8,66126.53,9.44,15.21,67.09,7.21,0.14,38.1,5.64,5.66,21924.13,3.68
25.16,30.21,46253.12,4.59,15.77,59.52,9.37,3.8,31.59,5.45,5.69,16244.12,1.94
25.01,30.58,46423.98,4.6,15.82,59.22,9.48,3.85,31.61,5.47,5.66,16104.03,1.92
25.21,30.55,46740.41,4.59,15.72,58.65,9.57,3.71,31.46,5.5,5.66,16290.04,1.93
26.4,28.94,46097.1,4.12,15.15,48.43,10.15,2.8,29.32,8.48,5.32,15971.67,1.94
33.62,40.15,43422.28,6.88,30.39,64.97,12.06,0.08,46.49,10.21,5.7,18947.02,3.17
